time,speed,steering_angle
5.424963,1.0,0.5105087757110596
5.449951,1.0,0.4830198585987091
5.474960,1.0,0.5026547908782959
5.499947,1.0,0.48694682121276855
5.524958,1.0,0.47909286618232727
5.549951,1.0,0.4712388813495636
5.574944,1.0,0.4594579041004181
5.599946,1.0,0.44374993443489075
5.624957,1.0,0.43196895718574524
5.649960,1.0,0.4162609875202179
5.674965,1.0,0.3966260552406311
5.699963,1.0,0.38877207040786743
5.724959,1.0,0.3612831234931946
5.749952,1.0,0.3416481912136078
5.774948,1.0,0.3337942063808441
5.799977,1.0,0.30237826704978943
5.824959,1.0,0.2788163125514984
5.849945,1.0,0.2748893201351166
5.874942,1.0,0.2474004030227661
5.899988,1.0,0.2238384485244751
5.924982,1.0,0.21991145610809326
5.949967,1.0,0.1924225240945816
5.974975,1.0,0.16886058449745178
5.999973,1.0,0.16886058449745178
6.024960,1.0,0.14529862999916077
6.049979,1.0,0.12959067523479462
6.074960,1.0,0.1060287281870842
6.099939,1.0,0.07853979617357254
6.124949,1.0,0.07068581134080887
6.149939,1.0,0.0628318339586258
6.174944,1.0,0.05497784912586212
6.199940,1.0,0.04319687560200691
6.226686,1.0,0.039269886910915375
6.249965,1.0,0.027488913387060165
6.274939,1.0,0.03534289449453354
6.299964,1.0,0.015707941725850105
6.324959,1.0,0.02356192283332348
6.349944,1.0,-0.00392701243981719
6.374943,1.0,-0.011780994012951851
6.399950,1.0,-0.015707984566688538
6.449943,1.0,-0.007854003459215164
6.474955,1.0,-0.00392701243981719
6.499945,1.0,-0.015707984566688538
6.524950,1.0,-0.019634975120425224
6.549983,1.0,0.007853959687054157
6.574940,1.0,0.0039269691333174706
6.599951,1.0,-0.007854003459215164
6.624957,1.0,0.007853959687054157
6.649942,1.0,-2.179294789073083e-08
6.674954,1.0,-0.00392701243981719
6.699948,1.0,0.007853959687054157
6.724949,1.0,0.0039269691333174706
6.749939,1.0,0.011780950240790844
6.774948,1.0,0.02356192283332348
6.799941,1.0,0.031415905803442
6.824936,1.0,0.019634932279586792
6.849952,1.0,0.031415905803442
6.874960,1.0,0.027488913387060165
6.899944,1.0,0.03534289449453354
6.924953,1.0,0.04319687560200691
6.949940,1.0,0.05890484154224396
6.974948,1.0,0.04712386801838875
6.999942,1.0,0.051050856709480286
7.024949,1.0,0.051050856709480286
7.049948,1.0,0.051050856709480286
7.074952,1.0,0.04712386801838875
7.099949,1.0,0.051050856709480286
7.125711,1.0,0.04319687560200691
7.149962,1.0,0.04319687560200691
7.174954,1.0,0.04319687560200691
7.199941,1.0,0.03534289449453354
7.224941,1.0,0.039269886910915375
7.249933,1.0,0.039269886910915375
7.274943,1.0,0.04319687560200691
7.299940,1.0,0.039269886910915375
7.324931,1.0,0.039269886910915375
7.349941,1.0,0.04712386801838875
7.374947,1.0,0.031415905803442
7.399946,1.0,0.02356192283332348
7.424941,1.0,0.019634932279586792
7.449928,1.0,0.02356192283332348
7.474940,1.0,0.011780950240790844
7.499939,1.0,0.015707941725850105
7.524941,1.0,0.015707941725850105
7.549935,1.0,0.0039269691333174706
7.574927,1.0,0.007853959687054157
7.599940,1.0,0.011780950240790844
7.624942,1.0,0.0039269691333174706
7.649943,1.0,-2.179294789073083e-08
7.674946,1.0,-2.179294789073083e-08
7.699932,1.0,-2.179294789073083e-08
7.724927,1.0,-2.179294789073083e-08
7.749938,1.0,-2.179294789073083e-08
7.774926,1.0,0.019634932279586792
7.799945,1.0,0.015707941725850105
7.824947,1.0,0.015707941725850105
7.849935,1.0,0.027488913387060165
7.874947,1.0,0.027488913387060165
7.899942,1.0,0.039269886910915375
7.924939,1.0,0.04712386801838875
7.949926,1.0,0.04712386801838875
7.974936,1.0,0.07068581134080887
7.999943,1.0,0.0746128037571907
8.025701,1.0,0.12959067523479462
8.049985,1.0,0.12566368281841278
8.074966,1.0,0.16493359208106995
8.099962,1.0,0.21991145610809326
8.124946,1.0,0.22776544094085693
8.149940,1.0,0.2238384485244751
