sec,nanosec,x,y,z,qx,qy,qz,qw,time
1742308767,117049520,-3.988831431273135,-0.3491615011683046,0.0,0.0,0.0,0.4742687832930318,-0.8803801004076292,1742308767.1170495
1742308767,137017353,-3.977823236262121,-0.3658712157605237,0.0,0.0,0.0,0.4733013076676813,-0.880900602883244,1742308767.1370173
1742308767,157226761,-3.9668825079239305,-0.3823993562298076,0.0,0.0,0.0,0.4723423922830901,-0.8814151487535754,1742308767.1572268
1742308767,177116256,-3.95577234506532,-0.3991043535360842,0.0,0.0,0.0,0.4707222960521506,-0.8822814290232972,1742308767.1771162
1742308767,197002680,-3.944512265693459,-0.4159005953672699,0.0,0.0,0.0,0.4685405646188202,-0.8834419841204498,1742308767.1970026
1742308767,217012690,-3.9331697094898894,-0.4326403913304865,0.0,0.0,0.0,0.4662462629976032,-0.8846549735579232,1742308767.2170126
1742308767,237005484,-3.921800807852849,-0.4492329543436689,0.0,0.0,0.0,0.4631931079786877,-0.8862573806299409,1742308767.2370055
1742308767,257129770,-3.910127337307921,-0.4660205552109024,0.0,0.0,0.0,0.4600836803400309,-0.8878755583327949,1742308767.2571297
1742308767,272014314,-3.901469686777584,-0.4782867450541131,0.0,0.0,0.0,0.4571351978998372,-0.8893972176935774,1742308767.2720144
1742308767,297105918,-3.8870072012373296,-0.4984913084672789,0.0,0.0,0.0,0.4515530128633174,-0.892244291981776,1742308767.297106
1742308767,317106488,-3.87527819501704,-0.5144506699932941,0.0,0.0,0.0,0.4457484183767989,-0.8951582807049165,1742308767.3171065
1742308767,332071323,-3.866319464945903,-0.526314500462002,0.0,0.0,0.0,0.441123502422494,-0.8974464082108257,1742308767.3320713
1742308767,352068629,-3.8542011405604018,-0.5420227561660209,0.0,0.0,0.0,0.4349332015118718,-0.9004627200626539,1742308767.3520687
1742308767,372070351,-3.841930356101714,-0.5574836056652531,0.0,0.0,0.0,0.4281803840557792,-0.9036932879632588,1742308767.3720703
1742308767,392028808,-3.829393320926743,-0.5728032020434998,0.0,0.0,0.0,0.4210348839983255,-0.9070444456896898,1742308767.3920288
1742308767,416996345,-3.813248106649104,-0.5919084037056452,0.0,0.0,0.0,0.4116715490055731,-0.9113322861280356,1742308767.4169962
1742308767,437061140,-3.800088927241263,-0.6068449464559168,0.0,0.0,0.0,0.4040697648731499,-0.914728170067675,1742308767.437061
1742308767,457170673,-3.786645846235409,-0.6216009406976043,0.0,0.0,0.0,0.3964188640448349,-0.918069760001604,1742308767.4571707
1742308767,477092522,-3.772676192763852,-0.636429837216923,0.0,0.0,0.0,0.388704447885856,-0.9213624977139844,1742308767.4770925
1742308767,496971169,-3.75856359191118,-0.6509157248417236,0.0,0.0,0.0,0.3812628834242678,-0.9244666644736376,1742308767.4969711
1742308767,516985660,-3.7443677692259567,-0.6650245330223877,0.0,0.0,0.0,0.3745935737910094,-0.927189114730366,1742308767.5169857
