sec,nanosec,speed,steering_angle
1745517467,811475365,1.0,-0.031415946781635284
1742308724,76082138,1.0,-0.027488958090543747
1745517467,861461753,1.0,-0.03534293919801712
1742308724,126082460,1.0,-0.02356196567416191
1742308724,151075277,1.0,-0.00392701243981719
1745517467,936435121,1.0,-0.011780994012951851
1745517467,961461530,1.0,-0.011780994012951851
1745517467,986448099,1.0,-0.00392701243981719
1742308724,226098865,1.0,0.011780950240790844
1742308724,276117697,1.0,-2.179294789073083e-08
1742308724,301113004,1.0,0.015707941725850105
1745517468,86442475,1.0,0.011780950240790844
1745517468,111439595,1.0,0.007853959687054157
1745517468,136441204,1.0,0.007853959687054157
1742308724,376096573,1.0,0.027488913387060165
1745517468,186447902,1.0,0.02356192283332348
1745517468,211416461,1.0,0.04712386801838875
1742308724,476109318,1.0,0.03534289449453354
1742308724,501101875,1.0,0.05890484154224396
1742308724,526079141,1.0,0.0746128037571907
1745517468,311393908,1.0,0.07853979617357254
1742308724,576089024,1.0,0.07853979617357254
1745517468,361453096,1.0,0.09032076597213745
1745517468,386439545,1.0,0.1060287281870842
1742308724,651095473,1.0,0.1060287281870842
1742308724,676079599,1.0,0.10210173577070236
1742308724,676079599,1.0,0.09817475080490112
1745517468,486443871,1.0,0.10995572060346603
1742308724,726104552,1.0,0.10995572060346603
1745517468,536438979,1.0,0.11388271301984787
1742308724,801098911,1.0,0.10995572060346603
1745517468,586438198,1.0,0.1178097054362297
1745517468,611450857,1.0,0.12959067523479462
1745517468,636445556,1.0,0.12959067523479462
1742308724,901095887,1.0,0.14137165248394012
1742308724,926094583,1.0,0.14529862999916077
1745517468,711432993,1.0,0.1610065996646881
1742308724,976095166,1.0,0.15707960724830627
1742308725,1074272,1.0,0.15315261483192444
1742308725,26077439,1.0,0.1610065996646881
1742308725,51080915,1.0,0.17671456933021545
1742308725,76089621,1.0,0.1806415617465973
1742308725,76089621,1.0,0.1924225240945816
1745517468,886438537,1.0,0.18456853926181793
1742308725,126114034,1.0,0.19634951651096344
1745517468,936442915,1.0,0.1806415617465973
1742308725,201105323,1.0,0.18849553167819977
1745517468,986449854,1.0,0.1924225240945816
1742308725,226112369,1.0,0.2042035013437271
1742308725,276098513,1.0,0.20813049376010895
1742308725,276098513,1.0,0.1924225240945816
1742308725,326105476,1.0,0.21598447859287262
1742308725,351136762,1.0,0.2238384485244751
1742308725,376111839,1.0,0.2356194257736206
1742308725,401110855,1.0,0.21991145610809326
1745517469,186427786,1.0,0.2238384485244751
1742308725,426102152,1.0,0.21598447859287262
1742308725,476087605,1.0,0.2474004030227661
1742308725,501089452,1.0,0.2356194257736206
1745517469,286447013,1.0,0.2552543878555298
1742308725,551091925,1.0,0.24347341060638428
1742308725,576087342,1.0,0.25132739543914795
1745517469,361460100,1.0,0.2356194257736206
1742308725,626101695,1.0,0.23954641819000244
1742308725,651088852,1.0,0.21991145610809326
1742308725,676084948,1.0,0.2042035013437271
1742308725,701081275,1.0,0.2042035013437271
1745517469,486420736,1.0,0.1924225240945816
1742308725,726076532,1.0,0.20027650892734528
1742308725,776074855,1.0,0.18456853926181793
1742308725,801081241,1.0,0.17671456933021545
1745517469,586416172,1.0,0.1610065996646881
1742308725,851074635,1.0,0.21205748617649078
1742308725,876096651,1.0,0.19634951651096344
1745517469,661426070,1.0,0.2591813802719116
1742308725,926071365,1.0,0.2474004030227661
1742308725,951081951,1.0,0.2474004030227661
1742308725,976095448,1.0,0.24347341060638428
1742308726,1098664,1.0,0.22776544094085693
1745517469,786432425,1.0,0.1924225240945816
1742308726,51068698,1.0,0.17671456933021545
1742308726,76079714,1.0,0.15315261483192444
1742308726,101068651,1.0,0.13351766765117645
1742308726,126062718,1.0,0.2238384485244751
1742308726,151067054,1.0,0.2042035013437271
1742308726,176076601,1.0,0.22776544094085693
1742308726,201066937,1.0,0.2238384485244751
1742308726,226063004,1.0,0.25132739543914795
