sec,nanosec,speed,steering_angle,time
1742308777,675823611,1.0,0.0117809502407908,1742308777.6758237
1742308777,725826145,1.0,0.0078539596870541,1742308777.7258263
1742308777,725826145,1.0,0.0117809502407908,1742308777.7258263
1742308777,775830299,1.0,0.0196349322795867,1742308777.7758303
1742308777,775830299,1.0,0.0157079417258501,1742308777.7758303
1742308777,825821404,1.0,0.0078539596870541,1742308777.8258214
1742308777,825821404,1.0,0.0157079417258501,1742308777.8258214
1742308777,875829168,1.0,0.0196349322795867,1742308777.8758292
1742308777,875829168,1.0,0.0078539596870541,1742308777.8758292
1742308777,925827713,1.0,0.0274889133870601,1742308777.9258277
1742308777,925827713,1.0,0.0117809502407908,1742308777.9258277
1742308777,975821507,1.0,0.0078539596870541,1742308777.9758215
1742308777,975821507,1.0,-2.1792947890730833e-08,1742308777.9758215
1742308778,25831641,1.0,0.0117809502407908,1742308778.0258317
1742308778,25831641,1.0,0.0235619228333234,1742308778.0258317
1742308778,75836626,1.0,0.0196349322795867,1742308778.0758367
1742308778,75836626,1.0,0.0235619228333234,1742308778.0758367
1742308778,125819500,1.0,0.0353428944945335,1742308778.1258194
1742308778,125819500,1.0,0.031415905803442,1742308778.1258194
1742308778,175817194,1.0,0.0392698869109153,1742308778.1758173
1742308778,175817194,1.0,0.0235619228333234,1742308778.1758173
1742308778,225843598,1.0,0.0353428944945335,1742308778.2258437
1742308778,225843598,1.0,0.0510508567094802,1742308778.2258437
1742308778,275833303,1.0,0.031415905803442,1742308778.2758334
1742308778,275833303,1.0,0.0392698869109153,1742308778.2758334
1742308778,325818137,1.0,0.0353428944945335,1742308778.325818
1742308778,350817235,1.0,0.0392698869109153,1742308778.3508172
1742308778,375813702,1.0,0.0471238680183887,1742308778.3758137
1742308778,375813702,1.0,0.0392698869109153,1742308778.3758137
1742308778,425816776,1.0,0.0274889133870601,1742308778.4258168
1742308778,425816776,1.0,0.031415905803442,1742308778.4258168
1742308778,475824740,1.0,0.0392698869109153,1742308778.4758248
1742308778,500812628,1.0,0.031415905803442,1742308778.5008125
1742308778,525818875,1.0,0.0274889133870601,1742308778.5258188
1742308778,525818875,1.0,0.031415905803442,1742308778.5258188
1742308778,575806860,1.0,0.0353428944945335,1742308778.5758069
1742308778,575806860,1.0,0.0353428944945335,1742308778.5758069
1742308778,625812365,1.0,0.0196349322795867,1742308778.6258123
1742308778,650805832,1.0,0.0274889133870601,1742308778.650806
1742308778,675820849,1.0,0.0235619228333234,1742308778.6758208
1742308778,675820849,1.0,0.0157079417258501,1742308778.6758208
1742308778,725809134,1.0,0.0196349322795867,1742308778.725809
1742308778,725809134,1.0,0.0039269691333174,1742308778.725809
1742308778,775812279,1.0,0.0039269691333174,1742308778.7758124
1742308778,775812279,1.0,-2.1792947890730833e-08,1742308778.7758124
1742308778,825808483,1.0,-0.0039270124398171,1742308778.8258085
1742308778,825808483,1.0,-2.1792947890730833e-08,1742308778.8258085
1742308778,875813548,1.0,-2.1792947890730833e-08,1742308778.8758135
1742308778,900819676,1.0,-0.0117809940129518,1742308778.9008198
1742308778,925810473,1.0,-0.0078540034592151,1742308778.9258106
1742308778,925810473,1.0,-2.1792947890730833e-08,1742308778.9258106
1742308778,975808848,1.0,-0.0039270124398171,1742308778.9758089
1742308778,975808848,1.0,-0.0117809940129518,1742308778.9758089
1742308779,25812393,1.0,-2.1792947890730833e-08,1742308779.0258124
1742308779,50805660,1.0,-0.0078540034592151,1742308779.0508056
1742308779,75809537,1.0,-0.0039270124398171,1742308779.0758095
1742308779,100821274,1.0,0.0157079417258501,1742308779.1008213
1742308779,125810392,1.0,0.0157079417258501,1742308779.1258104
1742308779,125810392,1.0,0.0274889133870601,1742308779.1258104
1742308779,175806107,1.0,0.0235619228333234,1742308779.175806
1742308779,200806574,1.0,0.031415905803442,1742308779.2008066
1742308779,225808361,1.0,0.0431968756020069,1742308779.2258084
1742308779,250804979,1.0,0.0431968756020069,1742308779.250805
1742308779,275804916,1.0,0.066758818924427,1742308779.275805
1742308779,275804916,1.0,0.0785397961735725,1742308779.275805
1742308779,325807851,1.0,0.0863937735557556,1742308779.3258078
1742308779,350802708,1.0,0.1138827130198478,1742308779.3508027
1742308779,375802426,1.0,0.1178097054362297,1742308779.3758025
1742308779,400804753,1.0,0.1688605844974517,1742308779.4008048
1742308779,425805241,1.0,0.2199114561080932,1742308779.4258053
1742308779,425805241,1.0,0.2159844785928726,1742308779.4258053
1742308779,475799685,1.0,0.2356194257736206,1742308779.4757998
1742308779,500815923,1.0,0.2513273954391479,1742308779.5008159
1742308779,525806960,1.0,0.2552543878555298,1742308779.525807
1742308779,550830248,1.0,0.2591813802719116,1742308779.5508304
1742308779,575814365,1.0,0.2552543878555298,1742308779.5758142
1742308779,600801763,1.0,0.2434734106063842,1742308779.6008017
1742308779,625804241,1.0,0.2316924333572387,1742308779.6258042
1742308779,650802968,1.0,0.2356194257736206,1742308779.6508029
1742308779,675800736,1.0,0.2238384485244751,1742308779.6758008
1742308779,700812713,1.0,0.2199114561080932,1742308779.7008128
1742308779,725801391,1.0,0.2081304937601089,1742308779.7258015
1742308779,750804528,1.0,0.1924225240945816,1742308779.7508044
1742308779,775816306,1.0,0.1924225240945816,1742308779.7758162
1742308779,800820663,1.0,0.1884955316781997,1742308779.8008206
1742308779,825801931,1.0,0.1806415617465973,1742308779.8258018
1742308779,850795509,1.0,0.1688605844974517,1742308779.8507955
1742308779,875794536,1.0,0.1610065996646881,1742308779.8757946
1742308779,900802604,1.0,0.1531526148319244,1742308779.9008026
1742308779,925802681,1.0,0.1492256224155426,1742308779.9258027
1742308779,950791539,1.0,0.1492256224155426,1742308779.9507916
1742308779,975793707,1.0,0.1413716524839401,1742308779.9757936
1742308780,792654,1.0,0.1452986299991607,1742308780.0007927
1742308780,25793292,1.0,0.1452986299991607,1742308780.0257933
1742308780,50809169,1.0,0.1374446600675583,1742308780.0508091
1742308780,75799847,1.0,0.1335176676511764,1742308780.0758
1742308780,100793834,1.0,0.1413716524839401,1742308780.1007938
1742308780,125798822,1.0,0.1295906752347946,1742308780.125799
1742308780,150796429,1.0,0.1178097054362297,1742308780.1507964
1742308780,175793877,1.0,0.1178097054362297,1742308780.175794
1742308780,200792995,1.0,0.1295906752347946,1742308780.200793
1742308780,225790732,1.0,0.1295906752347946,1742308780.2257907
1742308780,250795760,1.0,0.1178097054362297,1742308780.2507958
1742308780,275811027,1.0,0.1256636828184127,1742308780.275811
1742308780,300803715,1.0,0.1138827130198478,1742308780.3008037
1742308780,325806092,1.0,0.1178097054362297,1742308780.3258061
1742308780,350790460,1.0,0.1060287281870842,1742308780.3507905
1742308780,375790018,1.0,0.1060287281870842,1742308780.37579
1742308780,400798335,1.0,0.0981747508049011,1742308780.4007983
1742308780,425788692,1.0,0.1138827130198478,1742308780.4257886
1742308780,450790020,1.0,0.1138827130198478,1742308780.45079
1742308780,475789168,1.0,0.0942477583885192,1742308780.475789
1742308780,500789395,1.0,0.0981747508049011,1742308780.5007894
1742308780,525806613,1.0,0.1021017357707023,1742308780.5258067
1742308780,550797891,1.0,0.1060287281870842,1742308780.550798
1742308780,575789749,1.0,0.1256636828184127,1742308780.5757897
1742308780,600790636,1.0,0.1178097054362297,1742308780.6007907
1742308780,625789464,1.0,0.1295906752347946,1742308780.6257894
1742308780,650791422,1.0,0.1531526148319244,1742308780.6507914
1742308780,675786030,1.0,0.1570796072483062,1742308780.675786
1742308780,700789397,1.0,0.1727875769138336,1742308780.7007895
1742308780,725797045,1.0,0.2199114561080932,1742308780.725797
1742308780,750786603,1.0,0.3063052594661712,1742308780.7507865
1742308780,775786471,1.0,0.2984512746334076,1742308780.7757864
1742308780,800816978,1.0,0.3455751538276672,1742308780.800817
1742308780,825796626,1.0,0.3966260552406311,1742308780.8257966
1742308780,850777394,1.0,0.4437499344348907,1742308780.8507774
1742308780,875780762,1.0,0.4594579041004181,1742308780.8757808
1742308780,900783759,1.0,0.4555309116840362,1742308780.9007838
1742308780,925806217,1.0,0.4633848965167999,1742308780.9258063
1742308780,950786205,1.0,0.4280419647693634,1742308780.950786
1742308780,975780593,1.0,0.4084070324897766,1742308780.9757805
1742308781,783440,1.0,0.3966260552406311,1742308781.0007834
1742308781,25785808,1.0,0.3612831234931946,1742308781.025786
1742308781,50797796,1.0,0.3298672139644623,1742308781.0507977
1742308781,75786504,1.0,0.3141592442989349,1742308781.0757866
1742308781,100780471,1.0,0.2984512746334076,1742308781.1007805
1742308781,125780289,1.0,0.2748893201351166,1742308781.1257803
1742308781,150795167,1.0,0.2670353651046753,1742308781.1507952
1742308781,175779735,1.0,0.2316924333572387,1742308781.1757798
1742308781,200781382,1.0,0.2081304937601089,1742308781.2007813
1742308781,225780340,1.0,0.1727875769138336,1742308781.2257802
1742308781,250781828,1.0,0.1610065996646881,1742308781.2507818
1742308781,275779606,1.0,0.1335176676511764,1742308781.2757797
1742308781,300781873,1.0,0.1256636828184127,1742308781.300782
1742308781,325787021,1.0,0.1021017357707023,1742308781.325787
1742308781,350792849,1.0,0.0824667811393737,1742308781.350793
1742308781,375785117,1.0,0.0785397961735725,1742308781.375785
1742308781,400784414,1.0,0.1138827130198478,1742308781.4007845
1742308781,425783542,1.0,0.109955720603466,1742308781.4257836
1742308781,450788070,1.0,0.1178097054362297,1742308781.450788
1742308781,475782368,1.0,0.1452986299991607,1742308781.4757824
1742308781,500786525,1.0,0.1531526148319244,1742308781.5007865
1742308781,525783153,1.0,0.1452986299991607,1742308781.525783
1742308781,550799481,1.0,0.1492256224155426,1742308781.5507994
1742308781,575782909,1.0,0.1492256224155426,1742308781.575783
1742308781,600777547,1.0,0.1531526148319244,1742308781.6007776
1742308781,625777875,1.0,0.1217366904020309,1742308781.625778
1742308781,650777363,1.0,0.1335176676511764,1742308781.6507773
1742308781,675775761,1.0,0.1178097054362297,1742308781.6757758
1742308781,700777299,1.0,0.1138827130198478,1742308781.7007773
1742308781,725773637,1.0,0.1060287281870842,1742308781.7257736
1742308781,750781185,1.0,0.0942477583885192,1742308781.7507813
1742308781,775774563,1.0,0.0903207659721374,1742308781.7757745
1742308781,800775361,1.0,0.0746128037571907,1742308781.8007753
1742308781,825778599,1.0,0.0746128037571907,1742308781.8257785
1742308781,850772927,1.0,0.0628318339586258,1742308781.8507729
1742308781,875772145,1.0,0.0942477583885192,1742308781.8757722
1742308781,900775723,1.0,0.0863937735557556,1742308781.9007757
1742308781,925771670,1.0,0.0706858113408088,1742308781.9257717
1742308781,950774668,1.0,0.0706858113408088,1742308781.9507747
1742308781,975775396,1.0,0.0628318339586258,1742308781.9757755
1742308782,774314,1.0,0.066758818924427,1742308782.0007744
1742308782,25771432,1.0,0.0746128037571907,1742308782.0257714
1742308782,50769320,1.0,0.0785397961735725,1742308782.0507693
1742308782,75777458,1.0,0.0746128037571907,1742308782.0757775
1742308782,100773056,1.0,0.0824667811393737,1742308782.100773
1742308782,125770754,1.0,0.0785397961735725,1742308782.1257708
1742308782,150772602,1.0,0.1021017357707023,1742308782.1507726
1742308782,175778820,1.0,0.1138827130198478,1742308782.1757789
1742308782,200772128,1.0,0.109955720603466,1742308782.200772
1742308782,250763624,1.0,0.1178097054362297,1742308782.2507637
1742308782,250763624,1.0,0.1217366904020309,1742308782.2507637
1742308782,275773651,1.0,0.1138827130198478,1742308782.2757738
1742308782,300785109,1.0,0.1256636828184127,1742308782.300785
1742308782,325777027,1.0,0.4005530476570129,1742308782.325777
1742308782,350758875,1.0,0.4594579041004181,1742308782.3507588
1742308782,375783543,1.0,0.5969025492668152,1742308782.3757834
1742308782,400767401,1.0,0.6000000238418579,1742308782.4007673
1742308782,425774309,1.0,0.6000000238418579,1742308782.4257743
1742308782,450774277,1.0,0.6000000238418579,1742308782.4507742
1742308782,475769095,1.0,0.6000000238418579,1742308782.475769
1742308782,500769553,1.0,0.6000000238418579,1742308782.5007696
1742308782,525776141,1.0,0.6000000238418579,1742308782.5257761
1742308782,550769189,1.0,0.6000000238418579,1742308782.550769
1742308782,575785877,1.0,0.6000000238418579,1742308782.5757859
1742308782,600770575,1.0,0.6000000238418579,1742308782.6007705
1742308782,625771333,1.0,0.6000000238418579,1742308782.6257713
1742308782,650770761,1.0,0.6000000238418579,1742308782.6507707
1742308782,675766480,1.0,0.6000000238418579,1742308782.6757665
1742308782,700770148,1.0,0.6000000238418579,1742308782.7007701
1742308782,725770936,1.0,0.6000000238418579,1742308782.725771
1742308782,750764604,1.0,0.6000000238418579,1742308782.7507646
