t,steer,speed
1746722622798270208,-0.1471717208623886,7.65152645111084
1746722622898209024,-0.16538646817207336,8.104230880737305
1746722622998159872,-0.12959890067577362,8.093716621398926
1746722623098197760,-0.1564541906118393,8.057034492492676
1746722623198253824,-0.09391756355762482,8.49083423614502
1746722623298214656,-0.061632927507162094,8.00020694732666
1746722623398195712,-0.03837452083826065,8.200429916381836
1746722623498261248,-0.0393686480820179,7.714098930358887
1746722623598193664,-0.02283620461821556,8.072339057922363
1746722623698308352,-0.014349179342389107,7.93851900100708
1746722623798233088,-0.008463112637400627,8.575272560119629
1746722623898277120,-0.0061245509423315525,7.633554935455322
1746722623998327296,-0.003355270717293024,8.536402702331543
1746722624098192896,-0.0023189992643892765,7.946484088897705
1746722624198194944,-0.0017770708072930574,7.70465612411499
1746722624298186240,-0.002077371347695589,8.495382308959961
1746722624398174464,-0.005500682629644871,8.092695236206055
1746722624498268928,-0.0027874482329934835,7.944701671600342
1746722624598210816,-0.001578855561092496,7.884500503540039
1746722624698221312,-0.0007697460241615772,8.244463920593262
1746722624798245888,-0.00044540755334310234,8.02236557006836
1746722624898199552,0.00017155444948002696,8.24549674987793
1746722624998273024,-5.010429595131427e-05,8.009512901306152
1746722625098219776,-0.00022621294192504138,7.929884910583496
1746722625198213888,-0.00014517844829242676,8.306529998779297
1746722625298231552,0.001876487280242145,7.823771953582764
1746722625398195968,0.0056071518920362,8.060867309570312
1746722625498128896,0.002671213820576668,8.40971565246582
1746722625598199296,0.0017636899137869477,8.103622436523438
1746722625698218240,0.0008830832084640861,8.046858787536621
1746722625798221824,0.0006329419557005167,8.09453010559082
1746722625898267136,0.0003600737836677581,7.935528755187988
1746722625998239488,0.006775788497179747,8.12009334564209
1746722626098226176,0.004064988810569048,7.93452787399292
1746722626198199040,0.0024617917370051146,7.340080261230469
1746722626298164736,0.0014100930420681834,7.64983606338501
1746722626398184704,0.0016649506287649274,7.647087574005127
1746722626498187008,0.002102250698953867,7.211186408996582
1746722626598188032,0.000917782133910805,7.6276984214782715
1746722626698173440,0.0003895638801623136,6.953070640563965
1746722626798204672,0.00044853720464743674,7.348247528076172
1746722626898188800,0.00022400134184863418,7.032752990722656
1746722626998170112,0.00013433964340947568,6.624789714813232
1746722627098149888,1.1689963685057592e-05,6.925155162811279
1746722627198222592,0.0009484150214120746,6.721796989440918
1746722627298201856,0.0004971481976099312,6.551729679107666
1746722627398130688,-8.198542491300032e-05,6.513110637664795
1746722627498190592,0.0005492165801115334,6.819034099578857
1746722627598220800,1.3068802218185738e-05,6.265939712524414
1746722627698114560,5.6057200708892196e-05,6.127445220947266
1746722627798355712,-8.332046490977518e-06,6.254549980163574
1746722627898201856,0.0002158136630896479,6.259860515594482
1746722627998263296,-3.297701186966151e-05,5.870879173278809
1746722628098206208,0.0004517891211435199,5.835947513580322
1746722628198229760,-5.4696498409612104e-05,6.124711036682129
1746722628298323712,4.40281983173918e-05,5.587076663970947
1746722628398231040,0.00015125430945772678,5.754878997802734
1746722628498226432,-5.3261563152773306e-05,5.25784158706665
1746722628598117632,0.00016415870049968362,5.988356113433838
1746722628698238464,0.00020807595865335315,5.155203342437744
1746722628798173184,-0.00045869656605646014,5.57816743850708
1746722628898264576,0.00023553372011519969,5.372406959533691
1746722628998132480,-0.0001334816770395264,5.045782089233398
1746722629098253312,0.0009275716729462147,5.193106174468994
1746722629198243072,-0.0008211427484638989,5.1645307540893555
1746722629298226688,6.554569699801505e-05,5.074782371520996
1746722629398202880,0.0004875457671005279,4.8774309158325195
1746722629498127616,0.0010071825236082077,5.045612335205078
1746722629598155264,-0.0001782266772352159,4.791518211364746
1746722629698108160,-0.00513489218428731,4.269078731536865
1746722629798153472,-0.00297170109115541,3.4808621406555176
1746722629898182912,-0.0005448605515994132,3.451852321624756
1746722629998317056,0.0003851370420306921,2.826659679412842
1746722630098243584,-0.0018746446585282683,2.5153279304504395
1746722630198260992,-0.00011267648369539529,1.951601266860962
1746722630298178304,0.001254223519936204,1.2929065227508545
1746722630398199296,0.5,0.012471950612962246
1746722630498150656,0.0,0.0024425964802503586
1746722630598227456,0.0,0.0016390591626986861
1746722630698250752,0.0,0.0010685501620173454
1746722630798314752,0.0,0.00041934713954105973
1746722630898226688,0.0,0.0003436254046391696
1746722630998115328,0.0,0.0002673267154023051
1746722631098188544,0.0,0.00011435704800533131
